Month,Passengers
1980-01,112
1980-02,118
1980-03,132
1980-04,129
1980-05,121
1980-06,135
1980-07,148
1980-08,148
1980-09,136
1980-10,119
1980-11,104
1980-12,118
1981-01,115
1981-02,126
1981-03,141
1981-04,135
1981-05,125
1981-06,149
1981-07,170
1981-08,170
1981-09,158
1981-10,133
1981-11,114
1981-12,140
1982-01,145
1982-02,150
1982-03,178
1982-04,163
1982-05,172
1982-06,178
1982-07,199
1982-08,199
1982-09,184
1982-10,162
1982-11,146
1982-12,166
1983-01,171
1983-02,180
1983-03,193
1983-04,181
1983-05,183
1983-06,218
1983-07,230
1983-08,242
1983-09,209
1983-10,191
1983-11,172
1983-12,194
1984-01,196
1984-02,196
1984-03,236
1984-04,235
1984-05,229
1984-06,243
1984-07,264
1984-08,272
1984-09,237
1984-10,211
1984-11,180
1984-12,201
1985-01,204
1985-02,188
1985-03,235
1985-04,227
1985-05,234
1985-06,264
1985-07,302
1985-08,293
1985-09,259
1985-10,229
1985-11,203
1985-12,229
1986-01,242
1986-02,233
1986-03,267
1986-04,269
1986-05,270
1986-06,315
1986-07,364
1986-08,347
1986-09,312
1986-10,274
1986-11,237
1986-12,278
1987-01,284
1987-02,277
1987-03,317
1987-04,313
1987-05,318
1987-06,374
1987-07,413
1987-08,405
1987-09,355
1987-10,306
1987-11,271
1987-12,306
1988-01,315
1988-02,301
1988-03,356
1988-04,348
1988-05,355
1988-06,422
1988-07,465
1988-08,467
1988-09,404
1988-10,347
1988-11,305
1988-12,336
1989-01,340
1989-02,318
1989-03,362
1989-04,348
1989-05,363
1989-06,435
1989-07,491
1989-08,505
1989-09,404
1989-10,359
1989-11,310
1989-12,337
1990-01,360
1990-02,342
1990-03,406
1990-04,396
1990-05,420
1990-06,472
1990-07,548
1990-08,559
1990-09,463
1990-10,407
1990-11,362
1990-12,405
